"Sentence","Label"
"[E1]Inyo Mountains salamander or Batrachoseps campi[/E1] live in [E2]the Inyo Mountains between Owens Valley and Saline Valley of Inyo County, California;[/E2]","live_in"
"[E1]Inyo Mountains salamander or Batrachoseps campi[/E1] feed on [E2]insects, terrestrial non insect arthropods, mollusks, terrestrial worms;[/E2]","feed_on"
"[E1]Inyo Mountains salamander or Batrachoseps campi[/E1] breed by [E2]females likely lay their eggs underground in nesting burrows or in moist logs or crevasses where they hatch into miniature versions of their adult form after 1 to 2 months[/E2]","breed_by"
"[E1]Holy-mountain salamander or Bolitoglossa heiroreias[/E1] live in [E2]subtropical or tropical moist montanes in El Salvador, Guatemala, and possibly Honduras;[/E2]","live_in"
"[E1]Holy-mountain salamander or Bolitoglossa heiroreias[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Holy-mountain salamander or Bolitoglossa heiroreias[/E1] breed by [E2]females laying eggs in moist environments and the eggs develop and hatch directly into small salamanders[/E2]","breed_by"
"[E1]Pandi mushroomtongue salamander or Bolitoglossa pandi[/E1] live in [E2]in different vertical strata ranging from leaf litter, where they remained hidden, to shrubby substrates in the municipalities of Guaduas and Villeta in the department of Cundinamarca;[/E2]","live_in"
"[E1]Pandi mushroomtongue salamander or Bolitoglossa pandi[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Pandi mushroomtongue salamander or Bolitoglossa pandi[/E1] breed by [E2]laying eggs[/E2]","breed_by"
"[E1]Cerro Pando worm salamander or Oedipina grandis[/E1] live in [E2]humid lower montane forest areas of Cordillera de Talamanca in extreme southern Costa Rica and immediately adjacent western Panama;[/E2]","live_in"
"[E1]Cerro Pando worm salamander or Oedipina grandis[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Cerro Pando worm salamander or Oedipina grandis[/E1] breed by [E2]direct development during the dry season and larvae hatch at the beginning of the wet season[/E2]","breed_by"
"[E1]Black-footed salamander or Pseudoeurycea tlilicxitl[/E1] live in [E2]open and somewhat dry pine forests with understorey bunchgrass in the central section of Eje Neovolcánico Transversal in Mexico;[/E2]","live_in"
"[E1]Black-footed salamander or Pseudoeurycea tlilicxitl[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Black-footed salamander or Pseudoeurycea tlilicxitl[/E1] breed by [E2]females laying eggs[/E2]","breed_by"
